"End","count"
"2023-03-30 19:54:08.0","3"
"2023-03-30 19:54:09.0","2"
"2023-03-30 19:54:10.0","2"
"2023-03-30 19:54:11.0","3"
"2023-03-30 19:54:12.0","5"
"2023-03-30 19:54:13.0","2"
"2023-03-30 19:54:14.0","3"
"2023-03-30 19:54:15.0","5"
"2023-03-30 19:54:16.0","3"
"2023-03-30 19:54:17.0","2"
"2023-03-30 19:54:18.0","5"
"2023-03-30 19:54:19.0","5"
"2023-03-30 19:54:20.0","1"
"2023-03-30 19:54:21.0","4"
"2023-03-30 19:54:22.0","5"
"2023-03-30 19:54:23.0","5"
"2023-03-30 19:54:24.0","1"
"2023-03-30 19:54:25.0","4"
"2023-03-30 19:54:26.0","5"
"2023-03-30 19:54:27.0","5"
"2023-03-30 19:54:28.0","3"
"2023-03-30 19:54:29.0","2"
"2023-03-30 19:54:30.0","5"
"2023-03-30 19:54:31.0","5"
"2023-03-30 19:54:32.0","3"
"2023-03-30 19:54:33.0","2"
"2023-03-30 19:54:34.0","5"
"2023-03-30 19:54:35.0","5"
"2023-03-30 19:54:36.0","4"
"2023-03-30 19:54:37.0","1"
"2023-03-30 19:54:38.0","5"
"2023-03-30 19:54:39.0","5"
"2023-03-30 19:54:40.0","5"
"2023-03-30 19:54:41.0","1"
"2023-03-30 19:54:42.0","4"
"2023-03-30 19:54:43.0","5"
"2023-03-30 19:54:44.0","5"
"2023-03-30 19:54:45.0","5"
"2023-03-30 19:54:47.0","5"
"2023-03-30 19:54:48.0","5"
"2023-03-30 19:54:49.0","5"
"2023-03-30 19:54:50.0","5"
"2023-03-30 19:54:51.0","1"
"2023-03-30 19:54:52.0","4"
"2023-03-30 19:54:53.0","5"
"2023-03-30 19:54:54.0","5"
"2023-03-30 19:54:55.0","5"
"2023-03-30 19:54:56.0","3"
"2023-03-30 19:54:57.0","2"
"2023-03-30 19:54:58.0","5"
"2023-03-30 19:54:59.0","5"
"2023-03-30 19:55:00.0","5"
"2023-03-30 19:55:01.0","3"
"2023-03-30 19:55:02.0","2"
"2023-03-30 19:55:03.0","5"
"2023-03-30 19:55:04.0","5"
"2023-03-30 19:55:05.0","5"
"2023-03-30 19:55:07.0","5"
"2023-03-30 19:55:08.0","5"
"2023-03-30 19:55:09.0","5"
"2023-03-30 19:55:10.0","5"
"2023-03-30 19:55:11.0","1"
"2023-03-30 19:55:12.0","4"
"2023-03-30 19:55:13.0","5"
"2023-03-30 19:55:14.0","5"
"2023-03-30 19:55:15.0","5"
"2023-03-30 19:55:16.0","2"
"2023-03-30 19:55:17.0","3"
"2023-03-30 19:55:18.0","5"
"2023-03-30 19:55:19.0","5"
"2023-03-30 19:55:20.0","5"
"2023-03-30 19:55:21.0","1"
"2023-03-30 19:55:22.0","4"
"2023-03-30 19:55:23.0","5"
"2023-03-30 19:55:24.0","5"
"2023-03-30 19:55:25.0","5"
"2023-03-30 19:55:26.0","3"
"2023-03-30 19:55:27.0","2"
"2023-03-30 19:55:28.0","5"
"2023-03-30 19:55:29.0","5"
"2023-03-30 19:55:30.0","5"
"2023-03-30 19:55:31.0","2"
"2023-03-30 19:55:32.0","3"
"2023-03-30 19:55:33.0","5"
"2023-03-30 19:55:34.0","5"
"2023-03-30 19:55:35.0","5"
"2023-03-30 19:55:36.0","3"
"2023-03-30 19:55:37.0","2"
"2023-03-30 19:55:38.0","5"
"2023-03-30 19:55:39.0","5"
"2023-03-30 19:55:40.0","5"
"2023-03-30 19:55:41.0","1"
"2023-03-30 19:55:42.0","4"
"2023-03-30 19:55:43.0","5"
"2023-03-30 19:55:44.0","5"
"2023-03-30 19:55:45.0","5"
"2023-03-30 19:55:46.0","1"
"2023-03-30 19:55:47.0","4"
"2023-03-30 19:55:48.0","5"
"2023-03-30 19:55:49.0","5"
"2023-03-30 19:55:50.0","5"
"2023-03-30 19:55:51.0","1"
"2023-03-30 19:55:52.0","4"
"2023-03-30 19:55:53.0","5"
"2023-03-30 19:55:54.0","5"
"2023-03-30 19:55:55.0","3"
"2023-03-30 19:55:56.0","2"
"2023-03-30 19:55:57.0","5"
"2023-03-30 19:55:58.0","5"
"2023-03-30 19:55:59.0","5"
"2023-03-30 19:56:00.0","5"
"2023-03-30 19:56:02.0","5"
"2023-03-30 19:56:03.0","5"
