"End","count"
"2023-03-30 19:56:03.0","5"
"2023-03-30 19:56:05.0","5"
"2023-03-30 19:56:06.0","5"
"2023-03-30 19:56:07.0","5"
"2023-03-30 19:56:09.0","5"
"2023-03-30 19:56:10.0","5"
"2023-03-30 19:56:11.0","4"
"2023-03-30 19:56:12.0","1"
"2023-03-30 19:56:13.0","5"
"2023-03-30 19:56:14.0","5"
"2023-03-30 19:56:15.0","4"
"2023-03-30 19:56:16.0","1"
"2023-03-30 19:56:17.0","5"
"2023-03-30 19:56:18.0","5"
"2023-03-30 19:56:19.0","4"
"2023-03-30 19:56:20.0","1"
"2023-03-30 19:56:21.0","5"
"2023-03-30 19:56:22.0","5"
"2023-03-30 19:56:24.0","5"
"2023-03-30 19:56:25.0","5"
"2023-03-30 19:56:26.0","5"
"2023-03-30 19:56:28.0","5"
"2023-03-30 19:56:29.0","5"
"2023-03-30 19:56:30.0","4"
"2023-03-30 19:56:31.0","1"
"2023-03-30 19:56:32.0","5"
"2023-03-30 19:56:33.0","5"
"2023-03-30 19:56:34.0","3"
"2023-03-30 19:56:35.0","2"
"2023-03-30 19:56:36.0","5"
"2023-03-30 19:56:37.0","5"
"2023-03-30 19:56:38.0","2"
"2023-03-30 19:56:39.0","3"
"2023-03-30 19:56:40.0","5"
"2023-03-30 19:56:41.0","5"
"2023-03-30 19:56:42.0","1"
"2023-03-30 19:56:43.0","4"
"2023-03-30 19:56:44.0","5"
"2023-03-30 19:56:45.0","4"
"2023-03-30 19:56:46.0","1"
"2023-03-30 19:56:47.0","5"
"2023-03-30 19:56:48.0","5"
"2023-03-30 19:56:49.0","3"
"2023-03-30 19:56:50.0","2"
"2023-03-30 19:56:51.0","5"
"2023-03-30 19:56:52.0","5"
"2023-03-30 19:56:53.0","2"
"2023-03-30 19:56:54.0","3"
"2023-03-30 19:56:55.0","5"
"2023-03-30 19:56:56.0","3"
"2023-03-30 19:56:57.0","2"
"2023-03-30 19:56:58.0","5"
"2023-03-30 19:56:59.0","5"
"2023-03-30 19:57:00.0","2"
"2023-03-30 19:57:01.0","3"
"2023-03-30 19:57:02.0","5"
"2023-03-30 19:57:03.0","5"
"2023-03-30 19:57:05.0","5"
"2023-03-30 19:57:06.0","5"
"2023-03-30 19:57:07.0","4"
"2023-03-30 19:57:08.0","1"
"2023-03-30 19:57:09.0","5"
"2023-03-30 19:57:10.0","5"
"2023-03-30 19:57:11.0","3"
"2023-03-30 19:57:12.0","2"
"2023-03-30 19:57:13.0","5"
"2023-03-30 19:57:14.0","5"
"2023-03-30 19:57:15.0","2"
"2023-03-30 19:57:16.0","3"
"2023-03-30 19:57:17.0","5"
"2023-03-30 19:57:18.0","5"
"2023-03-30 19:57:19.0","2"
"2023-03-30 19:57:20.0","3"
"2023-03-30 19:57:21.0","5"
"2023-03-30 19:57:22.0","5"
"2023-03-30 19:57:23.0","1"
"2023-03-30 19:57:24.0","4"
"2023-03-30 19:57:25.0","5"
"2023-03-30 19:57:26.0","5"
"2023-03-30 19:57:28.0","5"
"2023-03-30 19:57:29.0","5"
"2023-03-30 19:57:30.0","4"
"2023-03-30 19:57:31.0","1"
"2023-03-30 19:57:32.0","5"
"2023-03-30 19:57:33.0","5"
"2023-03-30 19:57:34.0","1"
"2023-03-30 19:57:35.0","4"
"2023-03-30 19:57:36.0","5"
"2023-03-30 19:57:37.0","5"
"2023-03-30 19:57:39.0","5"
"2023-03-30 19:57:40.0","5"
"2023-03-30 19:57:41.0","5"
"2023-03-30 19:57:43.0","5"
"2023-03-30 19:57:44.0","5"
"2023-03-30 19:57:45.0","4"
"2023-03-30 19:57:46.0","1"
"2023-03-30 19:57:47.0","5"
"2023-03-30 19:57:48.0","5"
"2023-03-30 19:57:49.0","4"
"2023-03-30 19:57:50.0","1"
"2023-03-30 19:57:51.0","5"
"2023-03-30 19:57:52.0","5"
"2023-03-30 19:57:53.0","5"
