"End","count"
"2023-03-30 20:02:39.0","5"
"2023-03-30 20:02:40.0","3"
"2023-03-30 20:02:41.0","2"
"2023-03-30 20:02:42.0","5"
"2023-03-30 20:02:43.0","3"
"2023-03-30 20:02:44.0","2"
"2023-03-30 20:02:45.0","5"
"2023-03-30 20:02:46.0","5"
"2023-03-30 20:02:48.0","5"
"2023-03-30 20:02:49.0","5"
"2023-03-30 20:02:50.0","3"
"2023-03-30 20:02:51.0","2"
"2023-03-30 20:02:52.0","5"
"2023-03-30 20:02:53.0","4"
"2023-03-30 20:02:54.0","1"
"2023-03-30 20:02:55.0","5"
"2023-03-30 20:02:56.0","5"
"2023-03-30 20:02:58.0","5"
"2023-03-30 20:02:59.0","5"
"2023-03-30 20:03:00.0","3"
"2023-03-30 20:03:01.0","2"
"2023-03-30 20:03:02.0","5"
"2023-03-30 20:03:03.0","3"
"2023-03-30 20:03:04.0","2"
"2023-03-30 20:03:05.0","5"
"2023-03-30 20:03:06.0","5"
"2023-03-30 20:03:08.0","5"
"2023-03-30 20:03:09.0","5"
"2023-03-30 20:03:10.0","3"
"2023-03-30 20:03:11.0","2"
"2023-03-30 20:03:12.0","5"
"2023-03-30 20:03:13.0","5"
"2023-03-30 20:03:15.0","5"
"2023-03-30 20:03:16.0","5"
"2023-03-30 20:03:17.0","1"
"2023-03-30 20:03:18.0","4"
"2023-03-30 20:03:19.0","5"
"2023-03-30 20:03:20.0","4"
"2023-03-30 20:03:21.0","1"
"2023-03-30 20:03:22.0","5"
"2023-03-30 20:03:23.0","5"
"2023-03-30 20:03:24.0","1"
"2023-03-30 20:03:25.0","4"
"2023-03-30 20:03:26.0","5"
"2023-03-30 20:03:27.0","3"
"2023-03-30 20:03:28.0","2"
"2023-03-30 20:03:29.0","5"
"2023-03-30 20:03:30.0","5"
"2023-03-30 20:03:32.0","5"
"2023-03-30 20:03:33.0","5"
"2023-03-30 20:03:34.0","1"
"2023-03-30 20:03:35.0","4"
"2023-03-30 20:03:36.0","5"
"2023-03-30 20:03:37.0","2"
"2023-03-30 20:03:38.0","3"
"2023-03-30 20:03:39.0","5"
"2023-03-30 20:03:40.0","4"
"2023-03-30 20:03:41.0","1"
"2023-03-30 20:03:42.0","5"
"2023-03-30 20:03:43.0","5"
"2023-03-30 20:03:44.0","1"
"2023-03-30 20:03:45.0","4"
"2023-03-30 20:03:46.0","5"
"2023-03-30 20:03:47.0","2"
"2023-03-30 20:03:48.0","3"
"2023-03-30 20:03:49.0","5"
"2023-03-30 20:03:50.0","4"
"2023-03-30 20:03:51.0","1"
"2023-03-30 20:03:52.0","5"
"2023-03-30 20:03:53.0","5"
"2023-03-30 20:03:55.0","5"
"2023-03-30 20:03:56.0","5"
"2023-03-30 20:03:57.0","1"
"2023-03-30 20:03:58.0","4"
"2023-03-30 20:03:59.0","5"
"2023-03-30 20:04:00.0","3"
"2023-03-30 20:04:01.0","2"
"2023-03-30 20:04:02.0","5"
"2023-03-30 20:04:03.0","3"
"2023-03-30 20:04:04.0","2"
"2023-03-30 20:04:05.0","5"
"2023-03-30 20:04:06.0","5"
"2023-03-30 20:04:08.0","5"
"2023-03-30 20:04:09.0","5"
"2023-03-30 20:04:10.0","2"
"2023-03-30 20:04:11.0","3"
"2023-03-30 20:04:12.0","5"
"2023-03-30 20:04:13.0","2"
"2023-03-30 20:04:14.0","3"
"2023-03-30 20:04:15.0","5"
"2023-03-30 20:04:16.0","4"
"2023-03-30 20:04:17.0","1"
"2023-03-30 20:04:18.0","5"
"2023-03-30 20:04:19.0","5"
"2023-03-30 20:04:20.0","1"
"2023-03-30 20:04:21.0","4"
"2023-03-30 20:04:22.0","5"
"2023-03-30 20:04:23.0","2"
"2023-03-30 20:04:24.0","3"
"2023-03-30 20:04:25.0","5"
"2023-03-30 20:04:26.0","5"
"2023-03-30 20:04:28.0","5"
