"End","count"
"2023-03-30 20:00:45.0","5"
"2023-03-30 20:00:46.0","2"
"2023-03-30 20:00:47.0","3"
"2023-03-30 20:00:48.0","5"
"2023-03-30 20:00:49.0","4"
"2023-03-30 20:00:50.0","1"
"2023-03-30 20:00:51.0","5"
"2023-03-30 20:00:52.0","5"
"2023-03-30 20:00:53.0","2"
"2023-03-30 20:00:54.0","3"
"2023-03-30 20:00:55.0","5"
"2023-03-30 20:00:56.0","5"
"2023-03-30 20:00:58.0","5"
"2023-03-30 20:00:59.0","5"
"2023-03-30 20:01:00.0","3"
"2023-03-30 20:01:01.0","2"
"2023-03-30 20:01:02.0","5"
"2023-03-30 20:01:03.0","5"
"2023-03-30 20:01:04.0","1"
"2023-03-30 20:01:05.0","4"
"2023-03-30 20:01:06.0","5"
"2023-03-30 20:01:07.0","3"
"2023-03-30 20:01:08.0","2"
"2023-03-30 20:01:09.0","5"
"2023-03-30 20:01:10.0","5"
"2023-03-30 20:01:11.0","2"
"2023-03-30 20:01:12.0","3"
"2023-03-30 20:01:13.0","5"
"2023-03-30 20:01:14.0","5"
"2023-03-30 20:01:15.0","1"
"2023-03-30 20:01:16.0","4"
"2023-03-30 20:01:17.0","5"
"2023-03-30 20:01:18.0","5"
"2023-03-30 20:01:20.0","5"
"2023-03-30 20:01:21.0","5"
"2023-03-30 20:01:22.0","3"
"2023-03-30 20:01:23.0","2"
"2023-03-30 20:01:24.0","5"
"2023-03-30 20:01:25.0","5"
"2023-03-30 20:01:26.0","2"
"2023-03-30 20:01:27.0","3"
"2023-03-30 20:01:28.0","5"
"2023-03-30 20:01:29.0","3"
"2023-03-30 20:01:30.0","2"
"2023-03-30 20:01:31.0","5"
"2023-03-30 20:01:32.0","5"
"2023-03-30 20:01:33.0","2"
"2023-03-30 20:01:34.0","3"
"2023-03-30 20:01:35.0","5"
"2023-03-30 20:01:36.0","5"
"2023-03-30 20:01:37.0","1"
"2023-03-30 20:01:38.0","4"
"2023-03-30 20:01:39.0","5"
"2023-03-30 20:01:40.0","5"
"2023-03-30 20:01:42.0","5"
"2023-03-30 20:01:43.0","5"
"2023-03-30 20:01:44.0","3"
"2023-03-30 20:01:45.0","2"
"2023-03-30 20:01:46.0","5"
"2023-03-30 20:01:47.0","5"
"2023-03-30 20:01:48.0","2"
"2023-03-30 20:01:49.0","3"
"2023-03-30 20:01:50.0","5"
"2023-03-30 20:01:51.0","5"
"2023-03-30 20:01:52.0","1"
"2023-03-30 20:01:53.0","4"
"2023-03-30 20:01:54.0","5"
"2023-03-30 20:01:55.0","4"
"2023-03-30 20:01:56.0","1"
"2023-03-30 20:01:57.0","5"
"2023-03-30 20:01:58.0","5"
"2023-03-30 20:01:59.0","3"
"2023-03-30 20:02:00.0","2"
"2023-03-30 20:02:01.0","5"
"2023-03-30 20:02:02.0","5"
"2023-03-30 20:02:03.0","1"
"2023-03-30 20:02:04.0","4"
"2023-03-30 20:02:05.0","5"
"2023-03-30 20:02:06.0","4"
"2023-03-30 20:02:07.0","1"
"2023-03-30 20:02:08.0","5"
"2023-03-30 20:02:09.0","5"
"2023-03-30 20:02:10.0","2"
"2023-03-30 20:02:11.0","3"
"2023-03-30 20:02:12.0","5"
"2023-03-30 20:02:13.0","5"
"2023-03-30 20:02:14.0","1"
"2023-03-30 20:02:15.0","4"
"2023-03-30 20:02:16.0","5"
"2023-03-30 20:02:17.0","2"
"2023-03-30 20:02:18.0","3"
"2023-03-30 20:02:19.0","5"
"2023-03-30 20:02:20.0","5"
"2023-03-30 20:02:21.0","1"
"2023-03-30 20:02:22.0","4"
"2023-03-30 20:02:23.0","5"
"2023-03-30 20:02:24.0","5"
"2023-03-30 20:02:26.0","5"
"2023-03-30 20:02:27.0","5"
"2023-03-30 20:02:28.0","3"
"2023-03-30 20:02:29.0","2"
"2023-03-30 20:02:30.0","5"
"2023-03-30 20:02:31.0","5"
"2023-03-30 20:02:32.0","1"
"2023-03-30 20:02:33.0","4"
"2023-03-30 20:02:34.0","5"
"2023-03-30 20:02:35.0","3"
"2023-03-30 20:02:36.0","2"
"2023-03-30 20:02:37.0","5"
"2023-03-30 20:02:38.0","5"
