"End","count"
"2023-03-30 20:06:17.0","5"
"2023-03-30 20:06:18.0","2"
"2023-03-30 20:06:19.0","3"
"2023-03-30 20:06:20.0","5"
"2023-03-30 20:06:22.0","5"
"2023-03-30 20:06:23.0","3"
"2023-03-30 20:06:24.0","2"
"2023-03-30 20:06:25.0","5"
"2023-03-30 20:06:26.0","1"
"2023-03-30 20:06:27.0","4"
"2023-03-30 20:06:28.0","5"
"2023-03-30 20:06:30.0","5"
"2023-03-30 20:06:31.0","2"
"2023-03-30 20:06:32.0","3"
"2023-03-30 20:06:33.0","5"
"2023-03-30 20:06:34.0","2"
"2023-03-30 20:06:35.0","3"
"2023-03-30 20:06:36.0","5"
"2023-03-30 20:06:37.0","2"
"2023-03-30 20:06:38.0","3"
"2023-03-30 20:06:39.0","5"
"2023-03-30 20:06:41.0","5"
"2023-03-30 20:06:42.0","4"
"2023-03-30 20:06:43.0","1"
"2023-03-30 20:06:44.0","5"
"2023-03-30 20:06:45.0","5"
"2023-03-30 20:06:47.0","5"
"2023-03-30 20:06:48.0","5"
"2023-03-30 20:06:50.0","5"
"2023-03-30 20:06:51.0","5"
"2023-03-30 20:06:53.0","5"
"2023-03-30 20:06:54.0","5"
"2023-03-30 20:06:56.0","5"
"2023-03-30 20:06:57.0","4"
"2023-03-30 20:06:58.0","1"
"2023-03-30 20:06:59.0","5"
"2023-03-30 20:07:00.0","4"
"2023-03-30 20:07:01.0","1"
"2023-03-30 20:07:02.0","5"
"2023-03-30 20:07:03.0","3"
"2023-03-30 20:07:04.0","2"
"2023-03-30 20:07:05.0","5"
"2023-03-30 20:07:06.0","5"
"2023-03-30 20:07:08.0","5"
"2023-03-30 20:07:09.0","3"
"2023-03-30 20:07:10.0","2"
"2023-03-30 20:07:11.0","5"
"2023-03-30 20:07:12.0","2"
"2023-03-30 20:07:13.0","3"
"2023-03-30 20:07:14.0","5"
"2023-03-30 20:07:15.0","1"
"2023-03-30 20:07:16.0","4"
"2023-03-30 20:07:17.0","5"
"2023-03-30 20:07:18.0","1"
"2023-03-30 20:07:19.0","4"
"2023-03-30 20:07:20.0","5"
"2023-03-30 20:07:21.0","3"
"2023-03-30 20:07:22.0","2"
"2023-03-30 20:07:23.0","5"
"2023-03-30 20:07:24.0","2"
"2023-03-30 20:07:25.0","3"
"2023-03-30 20:07:26.0","5"
"2023-03-30 20:07:28.0","5"
"2023-03-30 20:07:29.0","4"
"2023-03-30 20:07:30.0","1"
"2023-03-30 20:07:31.0","5"
"2023-03-30 20:07:32.0","2"
"2023-03-30 20:07:33.0","3"
"2023-03-30 20:07:34.0","5"
"2023-03-30 20:07:36.0","5"
"2023-03-30 20:07:37.0","4"
"2023-03-30 20:07:38.0","1"
"2023-03-30 20:07:39.0","5"
"2023-03-30 20:07:40.0","4"
"2023-03-30 20:07:41.0","1"
"2023-03-30 20:07:42.0","5"
"2023-03-30 20:07:43.0","1"
"2023-03-30 20:07:44.0","4"
"2023-03-30 20:07:45.0","5"
"2023-03-30 20:07:47.0","5"
"2023-03-30 20:07:48.0","5"
"2023-03-30 20:07:50.0","5"
"2023-03-30 20:07:51.0","4"
"2023-03-30 20:07:52.0","1"
"2023-03-30 20:07:53.0","5"
"2023-03-30 20:07:54.0","4"
"2023-03-30 20:07:55.0","1"
"2023-03-30 20:07:56.0","5"
"2023-03-30 20:07:57.0","2"
"2023-03-30 20:07:58.0","3"
"2023-03-30 20:07:59.0","5"
"2023-03-30 20:08:00.0","2"
"2023-03-30 20:08:01.0","3"
